codigo_ibg,UF,MUNIC,DMU,Score,Beta,Área_prop,Orient_tecn,Queimada,Agricultura_ organ,Trabalho_infantil,Laço_parentesco,Financiamento,Sabem_ ler,Köppen,Altitude,T_Mean,R_Mean,X,Y
1503101,Pará,      Gurupá,203,1,0,0.99,0.00,1.00,0.00,0.12,0.75,0.99,0.57,Am,18.85,27.81,224.40,-51.5600,-1.1500
1503200,Pará,      Igarapé-Açu,204,0.70591,0.4166109,0.94,0.00,1.00,0.02,0.03,0.93,0.92,0.33,Am,39.23,27.75,237.13,-47.5700,-1.1500
1503309,Pará,      Igarapé-Miri,205,0.723591,0.3819967,0.97,0.00,1.00,0.02,0.02,0.95,0.86,0.37,Af,14.75,27.99,241.39,-49.1300,-2.0600
1503408,Pará,      Inhangapi,206,0.636271,0.5716584,1.00,0.00,1.00,0.01,0.02,0.96,0.93,0.15,Am,23.49,27.87,239.43,-47.9200,-1.4600
1503457,Pará,      Ipixuna do Pará,207,0.783304,0.2766443,0.95,0.00,1.00,0.00,0.01,0.98,0.96,0.35,Am,68.67,27.76,204.64,-47.9200,-2.8100
1503507,Pará,      Irituia,208,1,0,0.95,0.00,0.99,0.04,0.02,0.96,0.91,0.36,Am,38.35,27.82,222.55,-47.4000,-1.8100
1503606,Pará,      Itaituba,209,1,0,0.91,0.00,1.00,0.01,0.05,0.90,0.94,0.49,Am,202.82,26.94,219.16,-56.5000,-5.8700
1503705,Pará,      Itupiranga,210,0.589372,0.6967201,0.96,0.00,1.00,0.04,0.04,0.91,0.84,0.49,Am,158.83,27.43,187.28,-49.8700,-5.1100
1503754,Pará,      Jacareacanga,211,0.578415,0.7288639,0.40,0.00,1.00,0.01,0.01,0.97,1.00,0.38,Am,218.46,26.76,227.33,-57.3000,-7.4500
1503804,Pará,      Jacundá,212,0.610619,0.6376835,0.95,0.00,1.00,0.01,0.10,0.79,0.89,0.33,Am,103.85,27.69,176.49,-49.1800,-4.6000
1503903,Pará,      Juruti,213,0.601108,0.6635958,0.85,0.00,1.00,0.00,0.09,0.82,0.97,0.38,Am,62.04,27.41,189.21,-56.2200,-2.6200
1504000,Pará,      Limoeiro do Ajuru,214,0.647082,0.5453987,0.99,0.00,1.00,0.00,0.03,0.95,0.98,0.09,Af,10.74,27.99,241.06,-49.4700,-1.8600
1504059,Pará,      Mãe do Rio,215,0.714237,0.4000962,0.99,0.00,1.00,0.03,0.05,0.89,0.96,0.40,Am,48.24,27.79,219.90,-47.5100,-1.9900
1504109,Pará,      Magalhães Barata,216,0.757673,0.3198308,0.92,0.00,1.00,0.00,0.01,0.98,0.95,0.12,Am,24.30,27.79,242.03,-47.6400,-0.8100
1504208,Pará,      Marabá,217,0.635675,0.5731318,0.91,0.00,0.99,0.03,0.08,0.82,0.88,0.40,Am,202.81,27.22,184.89,-50.0200,-5.6300
1504307,Pará,      Maracanã,218,0.614462,0.6274411,0.93,0.00,1.00,0.00,0.05,0.90,0.94,0.22,Am,21.09,27.80,238.32,-47.5000,-0.8000
1504406,Pará,      Marapanim,219,0.598688,0.6703195,0.84,0.00,1.00,0.00,0.01,0.98,0.96,0.25,Am,22.97,27.80,243.57,-47.7100,-0.8400
1504422,Pará,      Marituba,220,0.684237,0.4614822,1.00,0.00,1.00,0.04,0.06,0.86,0.98,0.16,Af,18.74,27.90,247.13,-48.3200,-1.4000
1504455,Pará,      Medicilândia,221,0.794878,0.2580553,0.95,0.00,1.00,0.01,0.03,0.92,0.90,0.20,Am,166.02,27.27,186.71,-53.1900,-3.1600
1504505,Pará,      Melgaço,222,0.673727,0.4842799,0.98,0.00,1.00,0.00,0.02,0.97,0.98,0.64,Af,24.69,27.86,218.98,-51.1000,-1.6100
1504604,Pará,      Mocajuba,223,1,0,0.99,0.00,1.00,0.00,0.07,0.84,0.90,0.17,Af,22.41,28.00,231.19,-49.4700,-2.5800
1504703,Pará,      Moju,224,0.581232,0.7204833,0.91,0.00,0.99,0.00,0.05,0.89,0.96,0.53,Af,45.17,27.89,225.38,-49.0700,-2.6800
1504802,Pará,      Monte Alegre,225,0.689218,0.4509191,0.91,0.00,0.99,0.00,0.08,0.81,0.90,0.27,Am,265.69,26.54,180.23,-54.3500,-1.0700
1504901,Pará,      Muaná,226,0.905733,0.1040782,0.95,0.00,1.00,0.00,0.05,0.89,0.97,0.19,Af,10.98,27.94,250.16,-49.3100,-1.3600
1504950,Pará,      Nova Esperança do Piriá,227,0.594582,0.6818539,0.73,0.00,1.00,0.00,0.08,0.81,0.94,0.53,Am,97.34,27.54,210.28,-46.9000,-2.3900
1504976,Pará,      Nova Ipixuna,228,0.949843,0.05280529,0.91,0.00,1.00,0.00,0.06,0.87,0.92,0.37,Aw,107.20,27.68,170.71,-49.2300,-4.9800
1505007,Pará,      Nova Timboteua,229,0.785026,0.2738426,1.00,0.00,1.00,0.00,0.01,0.99,0.95,0.19,Am,34.55,27.77,231.53,-47.3900,-1.1600
